product_id,mid_price,spread
91282CFX4,99-000,0-002
91282CFX4,99-001,0-00+
91282CFX4,99-002,0-002
91282CFX4,99-003,0-00+
91282CFX4,99-00+,0-002
91282CFX4,99-005,0-00+
91282CFX4,99-006,0-002
91282CFX4,99-007,0-00+
91282CFX4,99-010,0-002
91282CFX4,99-011,0-00+
91282CFX4,99-012,0-002
91282CFX4,99-013,0-00+
91282CFX4,99-01+,0-002
91282CFX4,99-015,0-00+
91282CFX4,99-016,0-002
91282CFX4,99-017,0-00+
91282CFX4,99-020,0-002
91282CFX4,99-021,0-00+
91282CFX4,99-022,0-002
91282CFX4,99-023,0-00+
91282CFX4,99-02+,0-002
91282CFX4,99-025,0-00+
91282CFX4,99-026,0-002
91282CFX4,99-027,0-00+
91282CFX4,99-030,0-002
91282CFX4,99-031,0-00+
91282CFX4,99-032,0-002
91282CFX4,99-033,0-00+
91282CFX4,99-03+,0-002
91282CFX4,99-035,0-00+
91282CFX4,99-036,0-002
91282CFX4,99-037,0-00+
91282CFX4,99-040,0-002
91282CFX4,99-041,0-00+
91282CFX4,99-042,0-002
91282CFX4,99-043,0-00+
91282CFX4,99-04+,0-002
91282CFX4,99-045,0-00+
91282CFX4,99-046,0-002
91282CFX4,99-047,0-00+
91282CFX4,99-050,0-002
91282CFX4,99-051,0-00+
91282CFX4,99-052,0-002
91282CFX4,99-053,0-00+
91282CFX4,99-05+,0-002
91282CFX4,99-055,0-00+
91282CFX4,99-056,0-002
91282CFX4,99-057,0-00+
91282CFX4,99-060,0-002
91282CFX4,99-061,0-00+
91282CFX4,99-062,0-002
91282CFX4,99-063,0-00+
91282CFX4,99-06+,0-002
91282CFX4,99-065,0-00+
91282CFX4,99-066,0-002
91282CFX4,99-067,0-00+
91282CFX4,99-070,0-002
91282CFX4,99-071,0-00+
91282CFX4,99-072,0-002
91282CFX4,99-073,0-00+
91282CFX4,99-07+,0-002
91282CFX4,99-075,0-00+
91282CFX4,99-076,0-002
91282CFX4,99-077,0-00+
91282CFX4,99-080,0-002
91282CFX4,99-081,0-00+
91282CFX4,99-082,0-002
91282CFX4,99-083,0-00+
91282CFX4,99-08+,0-002
91282CFX4,99-085,0-00+
91282CFX4,99-086,0-002
91282CFX4,99-087,0-00+
91282CFX4,99-090,0-002
91282CFX4,99-091,0-00+
91282CFX4,99-092,0-002
91282CFX4,99-093,0-00+
91282CFX4,99-09+,0-002
91282CFX4,99-095,0-00+
91282CFX4,99-096,0-002
91282CFX4,99-097,0-00+
91282CFX4,99-100,0-002
91282CFX4,99-101,0-00+
91282CFX4,99-102,0-002
91282CFX4,99-103,0-00+
91282CFX4,99-10+,0-002
91282CFX4,99-105,0-00+
91282CFX4,99-106,0-002
91282CFX4,99-107,0-00+
91282CFX4,99-110,0-002
91282CFX4,99-111,0-00+
91282CFX4,99-112,0-002
91282CFX4,99-113,0-00+
91282CFX4,99-11+,0-002
91282CFX4,99-115,0-00+
91282CFX4,99-116,0-002
91282CFX4,99-117,0-00+
91282CFX4,99-120,0-002
91282CFX4,99-121,0-00+
91282CFX4,99-122,0-002
91282CFX4,99-123,0-00+
91282CFX4,99-12+,0-002
91282CFX4,99-125,0-00+
91282CFX4,99-126,0-002
91282CFX4,99-127,0-00+
91282CFX4,99-130,0-002
91282CFX4,99-131,0-00+
91282CFX4,99-132,0-002
91282CFX4,99-133,0-00+
91282CFX4,99-13+,0-002
91282CFX4,99-135,0-00+
91282CFX4,99-136,0-002
91282CFX4,99-137,0-00+
91282CFX4,99-140,0-002
91282CFX4,99-141,0-00+
91282CFX4,99-142,0-002
91282CFX4,99-143,0-00+
91282CFX4,99-14+,0-002
91282CFX4,99-145,0-00+
91282CFX4,99-146,0-002
91282CFX4,99-147,0-00+
91282CFX4,99-150,0-002
91282CFX4,99-151,0-00+
91282CFX4,99-152,0-002
91282CFX4,99-153,0-00+
91282CFX4,99-15+,0-002
91282CFX4,99-155,0-00+
91282CFX4,99-156,0-002
91282CFX4,99-157,0-00+
91282CFX4,99-160,0-002
91282CFX4,99-161,0-00+
91282CFX4,99-162,0-002
91282CFX4,99-163,0-00+
91282CFX4,99-16+,0-002
91282CFX4,99-165,0-00+
91282CFX4,99-166,0-002
91282CFX4,99-167,0-00+
91282CFX4,99-170,0-002
91282CFX4,99-171,0-00+
91282CFX4,99-172,0-002
91282CFX4,99-173,0-00+
91282CFX4,99-17+,0-002
91282CFX4,99-175,0-00+
91282CFX4,99-176,0-002
91282CFX4,99-177,0-00+
91282CFX4,99-180,0-002
91282CFX4,99-181,0-00+
91282CFX4,99-182,0-002
91282CFX4,99-183,0-00+
91282CFX4,99-18+,0-002
91282CFX4,99-185,0-00+
91282CFX4,99-186,0-002
91282CFX4,99-187,0-00+
91282CFX4,99-190,0-002
91282CFX4,99-191,0-00+
91282CFX4,99-192,0-002
91282CFX4,99-193,0-00+
91282CFX4,99-19+,0-002
91282CFX4,99-195,0-00+
91282CFX4,99-196,0-002
91282CFX4,99-197,0-00+
91282CFX4,99-200,0-002
91282CFX4,99-201,0-00+
91282CFX4,99-202,0-002
91282CFX4,99-203,0-00+
91282CFX4,99-20+,0-002
91282CFX4,99-205,0-00+
91282CFX4,99-206,0-002
91282CFX4,99-207,0-00+
91282CFX4,99-210,0-002
91282CFX4,99-211,0-00+
91282CFX4,99-212,0-002
91282CFX4,99-213,0-00+
91282CFX4,99-21+,0-002
91282CFX4,99-215,0-00+
91282CFX4,99-216,0-002
91282CFX4,99-217,0-00+
91282CFX4,99-220,0-002
91282CFX4,99-221,0-00+
91282CFX4,99-222,0-002
91282CFX4,99-223,0-00+
91282CFX4,99-22+,0-002
91282CFX4,99-225,0-00+
91282CFX4,99-226,0-002
91282CFX4,99-227,0-00+
91282CFX4,99-230,0-002
91282CFX4,99-231,0-00+
91282CFX4,99-232,0-002
91282CFX4,99-233,0-00+
91282CFX4,99-23+,0-002
91282CFX4,99-235,0-00+
91282CFX4,99-236,0-002
91282CFX4,99-237,0-00+
91282CFX4,99-240,0-002
91282CFX4,99-241,0-00+
91282CFX4,99-242,0-002
91282CFX4,99-243,0-00+
91282CFX4,99-24+,0-002
91282CFX4,99-245,0-00+
91282CFX4,99-246,0-002
91282CFX4,99-247,0-00+
91282CFX4,99-250,0-002
91282CFX4,99-251,0-00+
91282CFX4,99-252,0-002
91282CFX4,99-253,0-00+
91282CFX4,99-25+,0-002
91282CFX4,99-255,0-00+
91282CFX4,99-256,0-002
91282CFX4,99-257,0-00+
91282CFX4,99-260,0-002
91282CFX4,99-261,0-00+
91282CFX4,99-262,0-002
91282CFX4,99-263,0-00+
91282CFX4,99-26+,0-002
91282CFX4,99-265,0-00+
91282CFX4,99-266,0-002
91282CFX4,99-267,0-00+
