time,CUSIN,mid_price,spread
2022-Dec-18 01:15:12.300980,91282CFW6,99-122,0-002
2022-Dec-18 01:15:13.301440,91282CFW6,99-123,0-00+
2022-Dec-18 01:15:14.303107,91282CFW6,99-12+,0-002
2022-Dec-18 01:15:15.304116,91282CFW6,99-125,0-00+
2022-Dec-18 01:15:16.304603,91282CFW6,99-126,0-002
2022-Dec-18 01:15:17.309753,91282CFW6,99-127,0-00+
2022-Dec-18 01:15:18.322076,91282CFW6,99-130,0-002
2022-Dec-18 01:15:19.317900,91282CFW6,99-131,0-00+
2022-Dec-18 01:15:20.318231,91282CFW6,99-132,0-002
2022-Dec-18 01:15:21.318576,91282CFW6,99-133,0-00+
2022-Dec-18 01:15:22.318762,91282CFW6,99-13+,0-002
2022-Dec-18 01:15:23.323801,91282CFW6,99-135,0-00+
2022-Dec-18 01:15:24.327502,91282CFW6,99-136,0-002
2022-Dec-18 01:15:25.331015,91282CFW6,99-137,0-00+
2022-Dec-18 01:15:26.334764,91282CFW6,99-140,0-002
2022-Dec-18 01:15:27.335270,91282CFW6,99-141,0-00+
2022-Dec-18 01:15:28.335564,91282CFW6,99-142,0-002
2022-Dec-18 01:15:29.336571,91282CFW6,99-143,0-00+
2022-Dec-18 01:15:30.341184,91282CFW6,99-14+,0-002
2022-Dec-18 01:15:31.343753,91282CFW6,99-145,0-00+
2022-Dec-18 01:15:32.344254,91282CFW6,99-146,0-002
2022-Dec-18 01:15:33.347745,91282CFW6,99-147,0-00+
2022-Dec-18 01:15:34.348011,91282CFW6,99-150,0-002
2022-Dec-18 01:15:35.353234,91282CFW6,99-151,0-00+
2022-Dec-18 01:15:36.353723,91282CFW6,99-152,0-002
2022-Dec-18 01:15:37.354238,91282CFW6,99-153,0-00+
2022-Dec-18 01:15:38.358381,91282CFW6,99-15+,0-002
2022-Dec-18 01:15:39.358681,91282CFW6,99-155,0-00+
2022-Dec-18 01:15:40.359941,91282CFW6,99-156,0-002
2022-Dec-18 01:15:41.362105,91282CFW6,99-157,0-00+
2022-Dec-18 01:15:42.365848,91282CFW6,99-160,0-002
2022-Dec-18 01:15:43.365911,91282CFW6,99-161,0-00+
2022-Dec-18 01:15:44.369361,91282CFW6,99-162,0-002
2022-Dec-18 01:15:45.373269,91282CFW6,99-163,0-00+
2022-Dec-18 01:15:46.377326,91282CFW6,99-16+,0-002
2022-Dec-18 01:15:47.381023,91282CFW6,99-165,0-00+
2022-Dec-18 01:15:48.381242,91282CFW6,99-166,0-002
