time,product_id,TRSY1_size,TRSY2_size,TRSY3_size,total_size
2022-Dec-18 08:09:29.860,91282CFX4,1000000,0,0,1000000
2022-Dec-18 08:09:29.860,91282CFX4,0,0,0,0
2022-Dec-18 08:09:30.169,91282CFX4,0,1000000,0,1000000
2022-Dec-18 08:09:30.476,91282CFX4,0,1000000,-1000000,0
2022-Dec-18 08:09:30.796,91282CFX4,1000000,1000000,-1000000,1000000
2022-Dec-18 08:09:30.864,91282CFX4,1000000,-1000000,-1000000,-1000000
2022-Dec-18 08:09:31.117,91282CFX4,1000000,-2000000,-1000000,-2000000
2022-Dec-18 08:09:31.439,91282CFX4,1000000,-2000000,0,-1000000
2022-Dec-18 08:09:31.759,91282CFX4,0,-2000000,0,-2000000
2022-Dec-18 08:09:31.864,91282CFX4,0,-2000000,3000000,1000000
2022-Dec-18 08:09:32.074,91282CFX4,0,-1000000,3000000,2000000
2022-Dec-18 08:09:32.392,91282CFX4,0,-1000000,2000000,1000000
2022-Dec-18 08:09:32.710,91282CFX4,1000000,-1000000,2000000,2000000
2022-Dec-18 08:09:32.868,91282CFX4,-3000000,-1000000,2000000,-2000000
2022-Dec-18 08:09:33.031,91282CFX4,-3000000,-2000000,2000000,-3000000
2022-Dec-18 08:09:33.350,91282CFX4,-3000000,-2000000,3000000,-2000000
2022-Dec-18 08:09:33.665,91282CFX4,-4000000,-2000000,3000000,-3000000
2022-Dec-18 08:09:33.872,91282CFX4,-4000000,3000000,3000000,2000000
2022-Dec-18 08:09:33.984,91282CFX4,-4000000,4000000,3000000,3000000
2022-Dec-18 08:09:34.299,91282CFX4,-4000000,4000000,2000000,2000000
2022-Dec-18 08:09:34.618,91282CFX4,-3000000,4000000,2000000,3000000
2022-Dec-18 08:09:34.876,91282CFX4,-3000000,4000000,1000000,2000000
2022-Dec-18 08:09:34.933,91282CFX4,-3000000,3000000,1000000,1000000
2022-Dec-18 08:09:35.251,91282CFX4,-3000000,3000000,2000000,2000000
2022-Dec-18 08:09:35.565,91282CFX4,-4000000,3000000,2000000,1000000
2022-Dec-18 08:09:35.878,91282CFX4,-2000000,3000000,2000000,3000000
2022-Dec-18 08:09:35.883,91282CFX4,-2000000,4000000,2000000,4000000
2022-Dec-18 08:09:36.203,91282CFX4,-2000000,4000000,1000000,3000000
2022-Dec-18 08:09:36.527,91282CFX4,-1000000,4000000,1000000,4000000
2022-Dec-18 08:09:36.843,91282CFX4,-1000000,3000000,1000000,3000000
2022-Dec-18 08:09:36.879,91282CFX4,-1000000,0,1000000,0
2022-Dec-18 08:09:37.162,91282CFX4,-1000000,0,2000000,1000000
2022-Dec-18 08:09:37.475,91282CFX4,-2000000,0,2000000,0
2022-Dec-18 08:09:37.787,91282CFX4,-2000000,1000000,2000000,1000000
2022-Dec-18 08:09:37.883,91282CFX4,-2000000,1000000,6000000,5000000
2022-Dec-18 08:09:38.109,91282CFX4,-2000000,1000000,5000000,4000000
2022-Dec-18 08:09:38.430,91282CFX4,-1000000,1000000,5000000,5000000
2022-Dec-18 08:09:38.748,91282CFX4,-1000000,0,5000000,4000000
2022-Dec-18 08:09:38.886,91282CFX4,-6000000,0,5000000,-1000000
2022-Dec-18 08:09:39.067,91282CFX4,-6000000,0,6000000,0
2022-Dec-18 08:09:39.387,91282CFX4,-7000000,0,6000000,-1000000
2022-Dec-18 08:09:39.709,91282CFX4,-7000000,1000000,6000000,0
2022-Dec-18 08:09:39.889,91282CFW6,0,1000000,0,1000000
2022-Dec-18 08:09:40.019,91282CFX4,-7000000,1000000,5000000,-1000000
2022-Dec-18 08:09:40.338,91282CFX4,-6000000,1000000,5000000,0
2022-Dec-18 08:09:40.650,91282CFX4,-6000000,0,5000000,-1000000
2022-Dec-18 08:09:40.892,91282CFW6,0,1000000,-2000000,-1000000
2022-Dec-18 08:09:40.969,91282CFX4,-6000000,0,6000000,0
2022-Dec-18 08:09:41.292,91282CFX4,-7000000,0,6000000,-1000000
2022-Dec-18 08:09:41.607,91282CFX4,-7000000,1000000,6000000,0
2022-Dec-18 08:09:41.892,91282CFW6,3000000,1000000,-2000000,2000000
2022-Dec-18 08:09:41.927,91282CFX4,-7000000,1000000,5000000,-1000000
2022-Dec-18 08:09:42.243,91282CFX4,-6000000,1000000,5000000,0
2022-Dec-18 08:09:42.570,91282CFX4,-6000000,0,5000000,-1000000
2022-Dec-18 08:09:42.891,91282CFX4,-6000000,0,6000000,0
2022-Dec-18 08:09:42.893,91282CFW6,3000000,-3000000,-2000000,-2000000
2022-Dec-18 08:09:43.203,91282CFX4,-7000000,0,6000000,-1000000
2022-Dec-18 08:09:43.524,91282CFX4,-7000000,1000000,6000000,0
2022-Dec-18 08:09:43.844,91282CFX4,-7000000,1000000,5000000,-1000000
2022-Dec-18 08:09:43.896,91282CFW6,3000000,-3000000,3000000,3000000
2022-Dec-18 08:09:44.161,91282CFX4,-6000000,1000000,5000000,0
2022-Dec-18 08:09:44.481,91282CFX4,-6000000,0,5000000,-1000000
2022-Dec-18 08:09:44.797,91282CFX4,-6000000,0,6000000,0
2022-Dec-18 08:09:44.897,91282CFW6,2000000,-3000000,3000000,2000000
2022-Dec-18 08:09:45.118,91282CFX4,-7000000,0,6000000,-1000000
2022-Dec-18 08:09:45.427,91282CFX4,-7000000,1000000,6000000,0
2022-Dec-18 08:09:45.743,91282CFX4,-7000000,1000000,5000000,-1000000
2022-Dec-18 08:09:45.900,91282CFW6,2000000,-1000000,3000000,4000000
2022-Dec-18 08:09:46.064,91282CFX4,-6000000,1000000,5000000,0
2022-Dec-18 08:09:46.379,91282CFX4,-6000000,0,5000000,-1000000
2022-Dec-18 08:09:46.696,91282CFX4,-6000000,0,6000000,0
2022-Dec-18 08:09:46.903,91282CFW6,2000000,-1000000,0,1000000
2022-Dec-18 08:09:47.008,91282CFX4,-7000000,0,6000000,-1000000
2022-Dec-18 08:09:47.324,91282CFX4,-7000000,1000000,6000000,0
2022-Dec-18 08:09:47.641,91282CFX4,-7000000,1000000,5000000,-1000000
2022-Dec-18 08:09:47.905,91282CFW6,6000000,-1000000,0,5000000
2022-Dec-18 08:09:47.957,91282CFX4,-6000000,1000000,5000000,0
2022-Dec-18 08:09:48.270,91282CFX4,-6000000,0,5000000,-1000000
2022-Dec-18 08:09:48.582,91282CFX4,-6000000,0,6000000,0
2022-Dec-18 08:09:48.906,91282CFX4,-7000000,0,6000000,-1000000
2022-Dec-18 08:09:48.907,91282CFW6,6000000,-6000000,0,0
2022-Dec-18 08:09:49.218,91282CFX4,-7000000,1000000,6000000,0
2022-Dec-18 08:09:49.534,91282CFX4,-7000000,1000000,5000000,-1000000
2022-Dec-18 08:09:49.846,91282CFX4,-6000000,1000000,5000000,0
2022-Dec-18 08:09:49.909,91282CFZ9,0,0,1000000,1000000
2022-Dec-18 08:09:50.166,91282CFX4,-6000000,0,5000000,-1000000
2022-Dec-18 08:09:50.482,91282CFX4,-6000000,0,6000000,0
2022-Dec-18 08:09:50.799,91282CFX4,-7000000,0,6000000,-1000000
2022-Dec-18 08:09:50.914,91282CFZ9,-2000000,0,1000000,-1000000
2022-Dec-18 08:09:51.119,91282CFX4,-7000000,1000000,6000000,0
2022-Dec-18 08:09:51.425,91282CFX4,-7000000,1000000,5000000,-1000000
2022-Dec-18 08:09:51.740,91282CFX4,-6000000,1000000,5000000,0
2022-Dec-18 08:09:51.919,91282CFZ9,-2000000,3000000,1000000,2000000
2022-Dec-18 08:09:52.057,91282CFX4,-6000000,0,5000000,-1000000
2022-Dec-18 08:09:52.377,91282CFX4,-6000000,0,6000000,0
2022-Dec-18 08:09:52.693,91282CFX4,-7000000,0,6000000,-1000000
2022-Dec-18 08:09:52.923,91282CFZ9,-2000000,3000000,-3000000,-2000000
2022-Dec-18 08:09:53.015,91282CFX4,-7000000,1000000,6000000,0
2022-Dec-18 08:09:53.335,91282CFX4,-7000000,1000000,5000000,-1000000
2022-Dec-18 08:09:53.650,91282CFX4,-6000000,1000000,5000000,0
2022-Dec-18 08:09:53.924,91282CFZ9,3000000,3000000,-3000000,3000000
2022-Dec-18 08:09:53.973,91282CFX4,-6000000,0,5000000,-1000000
2022-Dec-18 08:09:54.295,91282CFX4,-6000000,0,6000000,0
2022-Dec-18 08:09:54.619,91282CFX4,-7000000,0,6000000,-1000000
2022-Dec-18 08:09:54.925,91282CFZ9,3000000,2000000,-3000000,2000000
2022-Dec-18 08:09:54.941,91282CFX4,-7000000,1000000,6000000,0
2022-Dec-18 08:09:55.256,91282CFX4,-7000000,1000000,5000000,-1000000
2022-Dec-18 08:09:55.576,91282CFX4,-6000000,1000000,5000000,0
2022-Dec-18 08:09:55.895,91282CFX4,-6000000,0,5000000,-1000000
2022-Dec-18 08:09:55.929,91282CFZ9,3000000,2000000,-1000000,4000000
2022-Dec-18 08:09:56.214,91282CFX4,-6000000,0,6000000,0
2022-Dec-18 08:09:56.537,91282CFX4,-7000000,0,6000000,-1000000
2022-Dec-18 08:09:56.862,91282CFX4,-7000000,1000000,6000000,0
2022-Dec-18 08:09:56.929,91282CFZ9,0,2000000,-1000000,1000000
2022-Dec-18 08:09:57.168,91282CFX4,-7000000,1000000,5000000,-1000000
2022-Dec-18 08:09:57.478,91282CFX4,-6000000,1000000,5000000,0
2022-Dec-18 08:09:57.802,91282CFX4,-6000000,0,5000000,-1000000
2022-Dec-18 08:09:57.934,91282CFZ9,0,6000000,-1000000,5000000
2022-Dec-18 08:09:58.123,91282CFX4,-6000000,0,6000000,0
2022-Dec-18 08:09:58.441,91282CFX4,-7000000,0,6000000,-1000000
2022-Dec-18 08:09:58.756,91282CFX4,-7000000,1000000,6000000,0
2022-Dec-18 08:09:58.935,91282CFZ9,0,6000000,-6000000,0
2022-Dec-18 08:09:59.072,91282CFX4,-7000000,1000000,5000000,-1000000
2022-Dec-18 08:09:59.386,91282CFX4,-6000000,1000000,5000000,0
2022-Dec-18 08:09:59.698,91282CFX4,-6000000,0,5000000,-1000000
2022-Dec-18 08:09:59.939,91282CFY2,1000000,0,0,1000000
2022-Dec-18 08:10:00.019,91282CFX4,-6000000,0,6000000,0
2022-Dec-18 08:10:00.331,91282CFX4,-7000000,0,6000000,-1000000
2022-Dec-18 08:10:00.653,91282CFX4,-7000000,1000000,6000000,0
2022-Dec-18 08:10:00.939,91282CFY2,1000000,-2000000,0,-1000000
2022-Dec-18 08:10:00.969,91282CFX4,-7000000,1000000,5000000,-1000000
2022-Dec-18 08:10:01.281,91282CFX4,-6000000,1000000,5000000,0
2022-Dec-18 08:10:01.599,91282CFX4,-6000000,0,5000000,-1000000
2022-Dec-18 08:10:01.919,91282CFX4,-6000000,0,6000000,0
2022-Dec-18 08:10:01.942,91282CFY2,1000000,-2000000,3000000,2000000
2022-Dec-18 08:10:02.238,91282CFX4,-7000000,0,6000000,-1000000
2022-Dec-18 08:10:02.555,91282CFX4,-7000000,1000000,6000000,0
2022-Dec-18 08:10:02.864,91282CFX4,-7000000,1000000,5000000,-1000000
2022-Dec-18 08:10:02.947,91282CFY2,-3000000,-2000000,3000000,-2000000
2022-Dec-18 08:10:03.186,91282CFX4,-6000000,1000000,5000000,0
2022-Dec-18 08:10:03.502,91282CFX4,-6000000,0,5000000,-1000000
2022-Dec-18 08:10:03.819,91282CFX4,-6000000,0,6000000,0
2022-Dec-18 08:10:03.952,91282CFY2,-3000000,3000000,3000000,3000000
