time,product_id,pv_01,quantity
2022-Dec-18 08:23:51.078,91282CFX4,0.019851,1000000
2022-Dec-18 08:23:51.078,91282CFX4,0.019851,0
2022-Dec-18 08:23:51.078,frontend,0.000000,0
2022-Dec-18 08:23:51.078,frontend,0.000000,0
2022-Dec-18 08:23:51.394,91282CFX4,0.019851,1000000
2022-Dec-18 08:23:51.394,frontend,0.019851,1000000
2022-Dec-18 08:23:51.712,91282CFX4,0.019851,0
2022-Dec-18 08:23:51.713,frontend,0.000000,0
2022-Dec-18 08:23:52.031,91282CFX4,0.019851,1000000
2022-Dec-18 08:23:52.031,frontend,0.019851,1000000
2022-Dec-18 08:23:52.082,91282CFX4,0.019851,-1000000
2022-Dec-18 08:23:52.082,frontend,0.019851,-1000000
2022-Dec-18 08:23:52.343,91282CFX4,0.019851,-2000000
2022-Dec-18 08:23:52.343,frontend,0.019851,-2000000
2022-Dec-18 08:23:52.656,91282CFX4,0.019851,-1000000
2022-Dec-18 08:23:52.656,frontend,0.019851,-1000000
2022-Dec-18 08:23:52.971,91282CFX4,0.019851,-2000000
2022-Dec-18 08:23:52.971,frontend,0.019851,-2000000
2022-Dec-18 08:23:53.084,91282CFX4,0.019851,1000000
2022-Dec-18 08:23:53.084,frontend,0.019851,1000000
2022-Dec-18 08:23:53.291,91282CFX4,0.019851,2000000
2022-Dec-18 08:23:53.291,frontend,0.019851,2000000
2022-Dec-18 08:23:53.604,91282CFX4,0.019851,1000000
2022-Dec-18 08:23:53.604,frontend,0.019851,1000000
2022-Dec-18 08:23:53.922,91282CFX4,0.019851,2000000
2022-Dec-18 08:23:53.922,frontend,0.019851,2000000
2022-Dec-18 08:23:54.085,91282CFX4,0.019851,-2000000
2022-Dec-18 08:23:54.085,frontend,0.019851,-2000000
2022-Dec-18 08:23:54.238,91282CFX4,0.019851,-3000000
2022-Dec-18 08:23:54.238,frontend,0.019851,-3000000
2022-Dec-18 08:23:54.554,91282CFX4,0.019851,-2000000
2022-Dec-18 08:23:54.554,frontend,0.019851,-2000000
2022-Dec-18 08:23:54.871,91282CFX4,0.019851,-3000000
2022-Dec-18 08:23:54.871,frontend,0.019851,-3000000
2022-Dec-18 08:23:55.089,91282CFX4,0.019851,2000000
2022-Dec-18 08:23:55.090,frontend,0.019851,2000000
2022-Dec-18 08:23:55.188,91282CFX4,0.019851,3000000
2022-Dec-18 08:23:55.188,frontend,0.019851,3000000
2022-Dec-18 08:23:55.500,91282CFX4,0.019851,2000000
2022-Dec-18 08:23:55.500,frontend,0.019851,2000000
2022-Dec-18 08:23:55.817,91282CFX4,0.019851,3000000
2022-Dec-18 08:23:55.817,frontend,0.019851,3000000
2022-Dec-18 08:23:56.090,91282CFX4,0.019851,2000000
2022-Dec-18 08:23:56.090,frontend,0.019851,2000000
2022-Dec-18 08:23:56.134,91282CFX4,0.019851,1000000
2022-Dec-18 08:23:56.134,frontend,0.019851,1000000
2022-Dec-18 08:23:56.447,91282CFX4,0.019851,2000000
2022-Dec-18 08:23:56.448,frontend,0.019851,2000000
2022-Dec-18 08:23:56.764,91282CFX4,0.019851,1000000
2022-Dec-18 08:23:56.765,frontend,0.019851,1000000
2022-Dec-18 08:23:57.088,91282CFX4,0.019851,2000000
2022-Dec-18 08:23:57.088,frontend,0.019851,2000000
2022-Dec-18 08:23:57.091,91282CFX4,0.019851,4000000
2022-Dec-18 08:23:57.091,frontend,0.019851,4000000
2022-Dec-18 08:23:57.405,91282CFX4,0.019851,3000000
2022-Dec-18 08:23:57.406,frontend,0.019851,3000000
2022-Dec-18 08:23:57.715,91282CFX4,0.019851,4000000
2022-Dec-18 08:23:57.715,frontend,0.019851,4000000
2022-Dec-18 08:23:58.026,91282CFX4,0.019851,3000000
2022-Dec-18 08:23:58.026,frontend,0.019851,3000000
2022-Dec-18 08:23:58.097,91282CFX4,0.019851,0
2022-Dec-18 08:23:58.097,frontend,0.000000,0
2022-Dec-18 08:23:58.340,91282CFX4,0.019851,1000000
2022-Dec-18 08:23:58.340,frontend,0.019851,1000000
2022-Dec-18 08:23:58.655,91282CFX4,0.019851,0
2022-Dec-18 08:23:58.655,frontend,0.000000,0
2022-Dec-18 08:23:58.967,91282CFX4,0.019851,1000000
2022-Dec-18 08:23:58.967,frontend,0.019851,1000000
2022-Dec-18 08:23:59.101,91282CFX4,0.019851,5000000
2022-Dec-18 08:23:59.101,frontend,0.019851,5000000
2022-Dec-18 08:23:59.275,91282CFX4,0.019851,4000000
2022-Dec-18 08:23:59.275,frontend,0.019851,4000000
2022-Dec-18 08:23:59.584,91282CFX4,0.019851,5000000
2022-Dec-18 08:23:59.584,frontend,0.019851,5000000
2022-Dec-18 08:23:59.900,91282CFX4,0.019851,4000000
2022-Dec-18 08:23:59.900,frontend,0.019851,4000000
2022-Dec-18 08:24:00.102,91282CFX4,0.019851,-1000000
2022-Dec-18 08:24:00.102,frontend,0.019851,-1000000
2022-Dec-18 08:24:00.217,91282CFX4,0.019851,0
2022-Dec-18 08:24:00.217,frontend,0.000000,0
2022-Dec-18 08:24:00.538,91282CFX4,0.019851,-1000000
2022-Dec-18 08:24:00.538,frontend,0.019851,-1000000
2022-Dec-18 08:24:00.855,91282CFX4,0.019851,0
2022-Dec-18 08:24:00.855,frontend,0.000000,0
2022-Dec-18 08:24:01.103,91282CFW6,0.029309,1000000
2022-Dec-18 08:24:01.103,frontend,0.029309,1000000
2022-Dec-18 08:24:01.169,91282CFX4,0.019851,-1000000
2022-Dec-18 08:24:01.169,frontend,0.000000,0
2022-Dec-18 08:24:01.482,91282CFX4,0.019851,0
2022-Dec-18 08:24:01.482,frontend,0.029309,1000000
2022-Dec-18 08:24:01.791,91282CFX4,0.019851,-1000000
2022-Dec-18 08:24:01.791,frontend,0.000000,0
2022-Dec-18 08:24:02.102,91282CFX4,0.019851,0
2022-Dec-18 08:24:02.102,frontend,0.029309,1000000
2022-Dec-18 08:24:02.105,91282CFW6,0.029309,-1000000
2022-Dec-18 08:24:02.105,frontend,0.029309,-1000000
2022-Dec-18 08:24:02.417,91282CFX4,0.019851,-1000000
2022-Dec-18 08:24:02.417,frontend,0.024580,-2000000
2022-Dec-18 08:24:02.733,91282CFX4,0.019851,0
2022-Dec-18 08:24:02.733,frontend,0.029309,-1000000
2022-Dec-18 08:24:03.047,91282CFX4,0.019851,-1000000
2022-Dec-18 08:24:03.047,frontend,0.024580,-2000000
2022-Dec-18 08:24:03.109,91282CFW6,0.029309,2000000
2022-Dec-18 08:24:03.109,frontend,0.038767,1000000
2022-Dec-18 08:24:03.356,91282CFX4,0.019851,0
2022-Dec-18 08:24:03.356,frontend,0.029309,2000000
2022-Dec-18 08:24:03.670,91282CFX4,0.019851,-1000000
2022-Dec-18 08:24:03.670,frontend,0.038767,1000000
2022-Dec-18 08:24:03.989,91282CFX4,0.019851,0
2022-Dec-18 08:24:03.989,frontend,0.029309,2000000
2022-Dec-18 08:24:04.114,91282CFW6,0.029309,-2000000
2022-Dec-18 08:24:04.114,frontend,0.029309,-2000000
2022-Dec-18 08:24:04.297,91282CFX4,0.019851,-1000000
2022-Dec-18 08:24:04.297,frontend,0.026156,-3000000
2022-Dec-18 08:24:04.618,91282CFX4,0.019851,0
2022-Dec-18 08:24:04.618,frontend,0.029309,-2000000
2022-Dec-18 08:24:04.943,91282CFX4,0.019851,-1000000
2022-Dec-18 08:24:04.943,frontend,0.026156,-3000000
2022-Dec-18 08:24:05.117,91282CFW6,0.029309,3000000
2022-Dec-18 08:24:05.117,frontend,0.034038,2000000
2022-Dec-18 08:24:05.254,91282CFX4,0.019851,0
2022-Dec-18 08:24:05.254,frontend,0.029309,3000000
2022-Dec-18 08:24:05.563,91282CFX4,0.019851,-1000000
2022-Dec-18 08:24:05.563,frontend,0.034038,2000000
2022-Dec-18 08:24:05.875,91282CFX4,0.019851,0
2022-Dec-18 08:24:05.875,frontend,0.029309,3000000
2022-Dec-18 08:24:06.117,91282CFW6,0.029309,2000000
2022-Dec-18 08:24:06.118,frontend,0.029309,2000000
2022-Dec-18 08:24:06.189,91282CFX4,0.019851,-1000000
2022-Dec-18 08:24:06.189,frontend,0.038767,1000000
2022-Dec-18 08:24:06.509,91282CFX4,0.019851,0
2022-Dec-18 08:24:06.509,frontend,0.029309,2000000
2022-Dec-18 08:24:06.830,91282CFX4,0.019851,-1000000
2022-Dec-18 08:24:06.830,frontend,0.038767,1000000
2022-Dec-18 08:24:07.121,91282CFW6,0.029309,4000000
2022-Dec-18 08:24:07.121,frontend,0.032462,3000000
2022-Dec-18 08:24:07.150,91282CFX4,0.019851,0
2022-Dec-18 08:24:07.150,frontend,0.029309,4000000
2022-Dec-18 08:24:07.463,91282CFX4,0.019851,-1000000
2022-Dec-18 08:24:07.463,frontend,0.032462,3000000
2022-Dec-18 08:24:07.781,91282CFX4,0.019851,0
2022-Dec-18 08:24:07.781,frontend,0.029309,4000000
2022-Dec-18 08:24:08.093,91282CFX4,0.019851,-1000000
2022-Dec-18 08:24:08.094,frontend,0.032462,3000000
2022-Dec-18 08:24:08.124,91282CFW6,0.029309,1000000
2022-Dec-18 08:24:08.124,frontend,0.000000,0
2022-Dec-18 08:24:08.407,91282CFX4,0.019851,0
2022-Dec-18 08:24:08.407,frontend,0.029309,1000000
2022-Dec-18 08:24:08.728,91282CFX4,0.019851,-1000000
2022-Dec-18 08:24:08.728,frontend,0.000000,0
2022-Dec-18 08:24:09.037,91282CFX4,0.019851,0
2022-Dec-18 08:24:09.037,frontend,0.029309,1000000
2022-Dec-18 08:24:09.124,91282CFW6,0.029309,5000000
2022-Dec-18 08:24:09.124,frontend,0.029309,5000000
2022-Dec-18 08:24:09.355,91282CFX4,0.019851,-1000000
2022-Dec-18 08:24:09.355,frontend,0.031674,4000000
2022-Dec-18 08:24:09.672,91282CFX4,0.019851,0
2022-Dec-18 08:24:09.672,frontend,0.029309,5000000
2022-Dec-18 08:24:09.986,91282CFX4,0.019851,-1000000
2022-Dec-18 08:24:09.986,frontend,0.031674,4000000
2022-Dec-18 08:24:10.127,91282CFW6,0.029309,0
2022-Dec-18 08:24:10.127,frontend,0.019851,-1000000
2022-Dec-18 08:24:10.309,91282CFX4,0.019851,0
2022-Dec-18 08:24:10.309,frontend,0.000000,0
2022-Dec-18 08:24:10.620,91282CFX4,0.019851,-1000000
2022-Dec-18 08:24:10.620,frontend,0.019851,-1000000
2022-Dec-18 08:24:10.933,91282CFX4,0.019851,0
2022-Dec-18 08:24:10.934,frontend,0.000000,0
2022-Dec-18 08:24:11.132,91282CFZ9,0.048643,1000000
2022-Dec-18 08:24:11.132,belly,0.048643,1000000
2022-Dec-18 08:24:11.244,91282CFX4,0.019851,-1000000
2022-Dec-18 08:24:11.244,frontend,0.019851,-1000000
2022-Dec-18 08:24:11.561,91282CFX4,0.019851,0
2022-Dec-18 08:24:11.561,frontend,0.000000,0
2022-Dec-18 08:24:11.879,91282CFX4,0.019851,-1000000
2022-Dec-18 08:24:11.879,frontend,0.019851,-1000000
2022-Dec-18 08:24:12.133,91282CFZ9,0.048643,-1000000
2022-Dec-18 08:24:12.133,belly,0.048643,-1000000
2022-Dec-18 08:24:12.202,91282CFX4,0.019851,0
2022-Dec-18 08:24:12.202,frontend,0.000000,0
2022-Dec-18 08:24:12.514,91282CFX4,0.019851,-1000000
2022-Dec-18 08:24:12.514,frontend,0.019851,-1000000
2022-Dec-18 08:24:12.825,91282CFX4,0.019851,0
2022-Dec-18 08:24:12.826,frontend,0.000000,0
2022-Dec-18 08:24:13.134,91282CFZ9,0.048643,2000000
2022-Dec-18 08:24:13.134,belly,0.048643,2000000
2022-Dec-18 08:24:13.145,91282CFX4,0.019851,-1000000
2022-Dec-18 08:24:13.145,frontend,0.019851,-1000000
2022-Dec-18 08:24:13.458,91282CFX4,0.019851,0
2022-Dec-18 08:24:13.458,frontend,0.000000,0
2022-Dec-18 08:24:13.769,91282CFX4,0.019851,-1000000
2022-Dec-18 08:24:13.769,frontend,0.019851,-1000000
2022-Dec-18 08:24:14.084,91282CFX4,0.019851,0
2022-Dec-18 08:24:14.084,frontend,0.000000,0
2022-Dec-18 08:24:14.138,91282CFZ9,0.048643,-2000000
2022-Dec-18 08:24:14.138,belly,0.048643,-2000000
2022-Dec-18 08:24:14.395,91282CFX4,0.019851,-1000000
2022-Dec-18 08:24:14.395,frontend,0.019851,-1000000
2022-Dec-18 08:24:14.705,91282CFX4,0.019851,0
2022-Dec-18 08:24:14.705,frontend,0.000000,0
2022-Dec-18 08:24:15.020,91282CFX4,0.019851,-1000000
2022-Dec-18 08:24:15.020,frontend,0.019851,-1000000
2022-Dec-18 08:24:15.139,91282CFZ9,0.048643,3000000
2022-Dec-18 08:24:15.139,belly,0.048643,3000000
