time,product_id,bid_price,bid_visible_quantity,bid_hidden_quantity,offer_price,offer_visible_quantity,offer_hidden_quantity
2022-Dec-18 08:23:51.078,91282CFX4,98.996094,1000000,2000000,99.003906,1000000,2000000
2022-Dec-18 08:23:51.130,91282CFX4,98.996094,2000000,4000000,99.011719,2000000,4000000
2022-Dec-18 08:23:51.184,91282CFX4,99.003906,1000000,2000000,99.011719,1000000,2000000
2022-Dec-18 08:23:51.235,91282CFX4,99.003906,2000000,4000000,99.019531,2000000,4000000
2022-Dec-18 08:23:51.285,91282CFX4,99.011719,1000000,2000000,99.019531,1000000,2000000
2022-Dec-18 08:23:51.339,91282CFX4,99.011719,2000000,4000000,99.027344,2000000,4000000
2022-Dec-18 08:23:51.390,91282CFX4,99.019531,1000000,2000000,99.027344,1000000,2000000
2022-Dec-18 08:23:51.442,91282CFX4,99.019531,2000000,4000000,99.035156,2000000,4000000
2022-Dec-18 08:23:51.494,91282CFX4,99.027344,1000000,2000000,99.035156,1000000,2000000
2022-Dec-18 08:23:51.548,91282CFX4,99.027344,2000000,4000000,99.042969,2000000,4000000
2022-Dec-18 08:23:51.601,91282CFX4,99.035156,1000000,2000000,99.042969,1000000,2000000
2022-Dec-18 08:23:51.656,91282CFX4,99.035156,2000000,4000000,99.050781,2000000,4000000
2022-Dec-18 08:23:51.711,91282CFX4,99.042969,1000000,2000000,99.050781,1000000,2000000
2022-Dec-18 08:23:51.766,91282CFX4,99.042969,2000000,4000000,99.058594,2000000,4000000
2022-Dec-18 08:23:51.821,91282CFX4,99.050781,1000000,2000000,99.058594,1000000,2000000
2022-Dec-18 08:23:51.873,91282CFX4,99.050781,2000000,4000000,99.066406,2000000,4000000
2022-Dec-18 08:23:51.923,91282CFX4,99.058594,1000000,2000000,99.066406,1000000,2000000
2022-Dec-18 08:23:51.991,91282CFX4,99.058594,2000000,4000000,99.074219,2000000,4000000
2022-Dec-18 08:23:52.031,91282CFX4,99.066406,1000000,2000000,99.074219,1000000,2000000
2022-Dec-18 08:23:52.085,91282CFX4,99.066406,2000000,4000000,99.082031,2000000,4000000
2022-Dec-18 08:23:52.135,91282CFX4,99.074219,1000000,2000000,99.082031,1000000,2000000
2022-Dec-18 08:23:52.186,91282CFX4,99.074219,2000000,4000000,99.089844,2000000,4000000
2022-Dec-18 08:23:52.239,91282CFX4,99.082031,1000000,2000000,99.089844,1000000,2000000
2022-Dec-18 08:23:52.289,91282CFX4,99.082031,2000000,4000000,99.097656,2000000,4000000
2022-Dec-18 08:23:52.343,91282CFX4,99.089844,1000000,2000000,99.097656,1000000,2000000
2022-Dec-18 08:23:52.398,91282CFX4,99.089844,2000000,4000000,99.105469,2000000,4000000
2022-Dec-18 08:23:52.448,91282CFX4,99.097656,1000000,2000000,99.105469,1000000,2000000
2022-Dec-18 08:23:52.501,91282CFX4,99.097656,2000000,4000000,99.113281,2000000,4000000
2022-Dec-18 08:23:52.554,91282CFX4,99.105469,1000000,2000000,99.113281,1000000,2000000
2022-Dec-18 08:23:52.605,91282CFX4,99.105469,2000000,4000000,99.121094,2000000,4000000
2022-Dec-18 08:23:52.656,91282CFX4,99.113281,1000000,2000000,99.121094,1000000,2000000
2022-Dec-18 08:23:52.708,91282CFX4,99.113281,2000000,4000000,99.128906,2000000,4000000
2022-Dec-18 08:23:52.760,91282CFX4,99.121094,1000000,2000000,99.128906,1000000,2000000
2022-Dec-18 08:23:52.815,91282CFX4,99.121094,2000000,4000000,99.136719,2000000,4000000
2022-Dec-18 08:23:52.868,91282CFX4,99.128906,1000000,2000000,99.136719,1000000,2000000
2022-Dec-18 08:23:52.921,91282CFX4,99.128906,2000000,4000000,99.144531,2000000,4000000
2022-Dec-18 08:23:52.971,91282CFX4,99.136719,1000000,2000000,99.144531,1000000,2000000
2022-Dec-18 08:23:53.026,91282CFX4,99.136719,2000000,4000000,99.152344,2000000,4000000
2022-Dec-18 08:23:53.081,91282CFX4,99.144531,1000000,2000000,99.152344,1000000,2000000
